文件	英文词数	唯一词	总字符	英文占比%
notes/术语映射表.md	343	159	6905	34.95
notes/logs/2026-05-03_study_log.md	322	60	8730	23.72
notes/实修/当前修行内容.md	297	82	12186	14.22
notes/03-心所法/善心所/无痴.md	279	53	9905	17.92
notes/03-心所法/善心所/三善根整体认知.md	272	70	10006	19.00
notes/03-心所法/善心所/无嗔.md	258	42	16240	9.56
notes/logs/2026-05-12_study_log.md	235	65	7035	22.35
notes/logs/2026-05-02_study_log_无嗔起步.md	226	43	10760	12.83
notes/logs/2026-05-07_study_log.md	207	71	6809	21.75
notes/教学操作核/教学操作核-06-行舍.md	197	60	3424	39.43
notes/实修/修行者画像.md	185	47	6111	20.42
notes/实修/基础篇/禅定实修指南.md	183	85	46464	2.21
notes/logs/2026-05-16_study_log.md	180	99	7463	18.01
notes/假说/假说-17-sign-vs-target-已闭合.md	157	49	3659	26.87
notes/03-心所法/善心所/行舍.md	151	73	11491	10.02
notes/03-心所法/善心所/惭愧合论.md	121	43	12644	6.44
notes/实修/实修反馈日志.md	112	38	16724	4.12
notes/假说/假说-15-anchor二阶二维.md	95	24	2539	25.40
notes/实修/心所专修/信的修习路径.md	90	16	8008	6.13
notes/教学操作核/教学操作核-05-不放逸.md	86	35	2427	22.91
notes/03-心所法/善心所/无贪.md	79	33	8614	6.20
notes/03-心所法/善心所/轻安.md	75	52	11550	4.11
notes/logs/2026-05-02_study_log.md	74	34	4164	13.28
notes/03-心所法/善心所/信.md	69	40	13235	3.12
notes/术语清洗方案.md	64	34	2843	14.42
notes/教学操作核/教学操作核-02-嗔事件层.md	57	14	1414	23.41
notes/01-准备阶段/六度详解和深度问答.md	57	40	11676	2.58
notes/假说/假说-07-激活休眠种子.md	55	28	1767	23.37
notes/logs/2026-04-29_study_log.md	51	23	5475	6.41
notes/01-准备阶段/1.2-大乘佛教核心思想.md	51	43	5525	5.48
notes/03-心所法/善心所/精进.md	46	32	13840	1.81
notes/教学操作核/教学操作核-04-轻安anchor.md	43	27	1293	22.66
notes/假说/假说-14-方便层瓦解普遍性.md	42	27	2326	12.51
notes/03-心所法/善心所/愧.md	34	24	5368	4.28
notes/logs/2026-05-01_study_log.md	33	12	3020	5.66
notes/logs/2026-04-30_study_log.md	32	11	4183	6.55
notes/03-心所法/善心所/不放逸.md	31	26	13855	1.55
notes/01-准备阶段/2-唯识学历史.md	27	23	5824	2.71
notes/教学操作核/教学操作核-03-无痴双线.md	24	9	653	21.90
notes/02-心法/AI作为阿赖耶识种子-现行机制的色法镜像.md	23	9	6233	2.47
notes/01-准备阶段/3-世亲菩萨.md	21	17	4843	2.27
notes/术语清洗-存量扫描-2026-05-17/README.md	19	18	758	13.85
notes/专题索引.md	17	10	3622	3.31
notes/logs/2026-04-25_study_log.md	17	13	2092	4.92
notes/logs/2026-04-26_study_log.md	17	13	2808	3.13
notes/01-准备阶段/1.1-大乘与小乘的区别.md	17	15	4314	2.55
notes/01-准备阶段/1.3-主要经典和论典.md	17	12	6648	1.40
notes/03-心所法/善心所/熏习机制与"用力"观.md	17	12	7032	1.58
notes/02-心法/唯识与物理学-种子因果的世界模型.md	16	11	9187	0.99
notes/03-心所法/善心所/惭.md	15	12	4444	2.30
notes/03-心所法/遍行心所/想.md	15	13	5578	2.33
notes/02-心法/识与脑科学-深度问答.md	14	11	6360	1.43
notes/03-心所法/别境心所/曾习、前世种子与阿赖耶识.md	14	10	7993	1.13
notes/02-心法/AI与意识-唯识视角.md	13	8	4020	2.24
notes/01-准备阶段/空性思想深度问答.md	13	9	5024	2.03
notes/假说/假说-16-慧无痴俱起分判.md	12	5	620	12.90
notes/03-心所法/遍行心所/受.md	12	9	7501	0.91
notes/03-心所法/别境心所/定.md	12	6	10015	0.50
notes/03-心所法/别境心所/唯识框架下的儿童教育.md	11	11	10498	0.88
notes/01-准备阶段/背景知识学习笔记.md	10	9	10802	0.61
notes/03-心所法/遍行心所/作意.md	10	7	5449	0.88
notes/03-心所法/别境心所/慧.md	10	9	14399	0.48
notes/02-心法/AI与意识-唯识视角-公众号版.md	8	7	3748	1.52
notes/03-心所法/善心所/共业感招与亲子作为饶益场.md	8	4	4259	0.92
notes/02-心法/前五识/眼识.md	8	5	3974	1.51
notes/03-心所法/别境心所/别境心所整体认知.md	7	5	6105	0.66
notes/06-无为法/非择灭无为.md	6	4	1843	1.90
notes/06-无为法/择灭无为.md	6	3	1841	1.85
notes/03-心所法/遍行心所/思.md	6	4	5609	0.64
notes/03-心所法/烦恼心所/恶见.md	6	5	2244	1.16
notes/03-心所法/别境心所/念.md	6	3	5624	0.66
notes/02-心法/第六识/意识.md	6	6	9660	0.47
notes/05-心不相应行法/语言相关/文身.md	6	5	1427	2.17
notes/实修/README.md	5	4	481	6.44
notes/01-准备阶段/4-玄奘法师.md	5	5	5141	0.68
notes/03-心所法/烦恼心所/痴.md	5	3	1633	1.35
notes/03-心所法/别境心所/从欲到精进：修道动力如何形成.md	5	5	4238	0.47
notes/03-心所法/别境心所/胜解.md	5	5	6744	0.56
notes/04-色法/五境/香境.md	5	5	2062	1.89
notes/05-心不相应行法/生命相关/灭尽定.md	5	4	1518	2.04
notes/05-心不相应行法/生命相关/无想定.md	5	4	1463	1.44
notes/假说/假说-13-递归惭愧.md	4	4	498	5.62
notes/假说/假说-12-惭愧末那二维辐射.md	4	3	624	6.57
notes/03-心所法/不定心所/悔.md	4	2	1641	0.85
notes/03-心所法/善心所/不害.md	4	1	1449	0.83
notes/03-心所法/遍行心所/触.md	4	3	3867	0.59
notes/03-心所法/烦恼心所/嗔.md	4	2	1647	1.34
notes/03-心所法/随烦恼心所/不正知.md	4	4	1496	2.41
notes/03-心所法/随烦恼心所/无愧.md	4	3	1500	1.20
notes/03-心所法/随烦恼心所/散乱.md	4	3	1475	0.88
notes/02-心法/第八识/阿赖耶识.md	4	4	8810	0.30
notes/04-色法/五境/色境.md	4	4	2301	0.78
notes/04-色法/五境/味境.md	4	4	2039	1.18
notes/05-心不相应行法/生命相关/众同分.md	4	3	1474	1.15
notes/05-心不相应行法/生命相关/异生性.md	4	4	1484	1.55
notes/05-心不相应行法/时空相关/流转.md	4	4	1369	0.95
notes/05-心不相应行法/关系相关/相应.md	4	3	1408	1.49
notes/05-心不相应行法/关系相关/次第.md	4	4	1339	1.57
notes/04-色法/stage_summary.md	3	3	890	2.13
notes/06-无为法/真如无为.md	3	3	2210	0.86
notes/06-无为法/不动灭无为.md	3	2	1793	0.67
notes/06-无为法/stage_summary.md	3	3	1019	1.86
notes/06-无为法/想受灭无为.md	3	3	1987	1.56
notes/假说/假说-05-新学不存在.md	3	3	737	3.53
notes/假说/假说-11-惭愧二阶结构.md	3	3	593	3.37
notes/03-心所法/遍行心所/分别依与作意的独立性.md	3	3	3615	0.30
notes/03-心所法/随烦恼心所/恼.md	3	3	1501	1.07
notes/03-心所法/随烦恼心所/恨.md	3	3	1432	1.19
notes/03-心所法/随烦恼心所/失念.md	3	3	1416	0.78
notes/02-心法/前五识/身识.md	3	2	4880	0.53
notes/04-色法/五境/触境.md	3	3	2468	0.57
notes/04-色法/法处所摄色/法处所摄色.md	3	3	3958	0.63
notes/05-心不相应行法/生命相关/命根.md	3	3	1368	1.54
notes/05-心不相应行法/生命相关/无想报.md	3	2	1492	0.60
notes/05-心不相应行法/时空相关/定异.md	3	3	1393	1.58
notes/05-心不相应行法/关系相关/不和合性.md	3	2	1466	0.75
notes/05-心不相应行法/关系相关/数.md	3	2	1397	0.64
notes/05-心不相应行法/有为相关/老.md	3	3	1384	0.87
notes/05-心不相应行法/有为相关/无常.md	3	3	1525	1.11
notes/教学操作核/教学操作核-01-亲子场无嗔.md	2	2	490	2.24
notes/06-无为法/虚空无为.md	2	2	1671	0.48
notes/logs/2026-04-27_study_log.md	2	1	3387	0.18
notes/02-心法/主观能动性与精进-深度问答.md	2	2	4892	0.22
notes/02-心法/stage_summary.md	2	2	3279	0.52
notes/03-心所法/stage_summary.md	2	1	4086	0.34
notes/01-准备阶段/README.md	2	2	2015	0.69
notes/03-心所法/不定心所/眠.md	2	1	1546	0.78
notes/03-心所法/不定心所/寻.md	2	2	1558	0.77
notes/03-心所法/烦恼心所/疑.md	2	2	1562	0.90
notes/03-心所法/别境心所/念定慧的内在链条：从比量到现量.md	2	2	5635	0.20
notes/03-心所法/随烦恼心所/放逸.md	2	2	1454	0.48
notes/03-心所法/随烦恼心所/忿.md	2	2	1439	0.63
notes/03-心所法/随烦恼心所/不信.md	2	2	1507	0.80
notes/03-心所法/随烦恼心所/覆.md	2	2	1436	0.70
notes/03-心所法/随烦恼心所/懈怠.md	2	2	1436	0.49
notes/02-心法/前五识/鼻识.md	2	2	4469	0.18
notes/02-心法/前五识/舌识.md	2	2	3350	0.21
notes/02-心法/第七识/末那识.md	2	1	7116	0.14
notes/04-色法/五境/声境.md	2	2	2066	0.48
notes/04-色法/五根/眼根.md	2	2	2338	0.56
notes/04-色法/五根/舌根.md	2	2	1684	0.65
notes/04-色法/五根/身根.md	2	2	2061	0.92
notes/04-色法/五根/鼻根.md	2	2	1782	0.67
notes/05-心不相应行法/生命相关/得.md	2	2	1526	0.39
notes/05-心不相应行法/语言相关/句身.md	2	2	1449	0.69
notes/05-心不相应行法/时空相关/势速.md	2	2	1388	0.58
notes/05-心不相应行法/关系相关/和合性.md	2	2	1401	0.50
notes/05-心不相应行法/有为相关/住.md	2	2	1408	0.64
notes/实修/修行全景框架.md	1	1	1129	0.62
notes/03-心所法/README.md	1	1	4427	0.23
notes/01-准备阶段/菩提心深度问答.md	1	1	4846	0.14
notes/03-心所法/不定心所/伺.md	1	1	1634	0.18
notes/03-心所法/善心所/跨世佛缘与八难对治.md	1	1	4173	0.10
notes/03-心所法/烦恼心所/贪.md	1	1	1635	0.31
notes/03-心所法/别境心所/欲.md	1	1	7070	0.08
notes/03-心所法/随烦恼心所/憍.md	1	1	1403	0.29
notes/03-心所法/随烦恼心所/诳.md	1	1	1392	0.22
notes/03-心所法/随烦恼心所/惛沉.md	1	1	1470	0.20
notes/03-心所法/随烦恼心所/悭.md	1	1	1387	0.43
notes/03-心所法/随烦恼心所/嫉.md	1	1	1370	0.22
notes/03-心所法/随烦恼心所/掉举.md	1	1	1494	0.60
notes/03-心所法/随烦恼心所/害.md	1	1	1394	0.29
notes/03-心所法/随烦恼心所/无惭.md	1	1	1461	0.21
notes/02-心法/前五识/耳识.md	1	1	4108	0.22
notes/04-色法/五根/耳根.md	1	1	1843	0.71
notes/05-心不相应行法/语言相关/名身.md	1	1	1440	0.28
notes/05-心不相应行法/时空相关/时.md	1	1	1404	0.21
notes/05-心不相应行法/有为相关/生.md	1	1	1383	0.22
